StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,CodingScore,CommunicationScore
30,7.0,0,1,1,63,3.9,No,Yes,60,61,NotPlaced,60,66
31,8.4,2,3,2,90,4.6,Yes,Yes,55,80,Placed,55,62
32,7.4,1,2,1,76,4.7,No,Yes,66,69,NotPlaced,92,92
33,8.5,1,3,0,90,4.8,Yes,Yes,85,85,Placed,64,69
34,8.6,1,2,2,75,4.3,Yes,Yes,62,80,Placed,49,57
35,6.9,0,1,0,70,3.9,No,Yes,79,68,Placed,77,79
36,7.8,1,1,1,67,4.3,No,No,65,73,NotPlaced,46,55
37,8.3,1,2,2,89,4.8,Yes,Yes,75,81,Placed,68,72
38,8.2,1,2,2,77,4.2,No,Yes,72,72,Placed,35,46
39,8.5,2,3,3,90,4.7,Yes,Yes,79,86,Placed,45,54
40,6.7,0,3,2,88,4.2,Yes,Yes,72,86,Placed,67,72
41,8.6,2,3,1,90,4.8,Yes,Yes,63,84,Placed,76,78
42,8.3,2,3,2,85,4.8,Yes,Yes,77,83,Placed,67,72
43,6.7,0,1,1,72,4.4,No,No,55,60,NotPlaced,63,68
44,8.6,2,3,2,88,4.7,Yes,Yes,80,87,Placed,60,66
45,7.4,1,3,0,86,4.8,No,Yes,70,73,NotPlaced,42,52
46,6.7,1,1,2,73,4.5,No,No,55,66,Placed,54,61
47,6.9,1,1,1,76,4.4,No,No,55,65,NotPlaced,58,64
48,7.0,1,1,0,62,4.3,No,Yes,59,67,NotPlaced,80,82
49,8.1,1,3,2,90,4.6,Yes,Yes,77,87,Placed,70,74
50,7.7,1,2,0,74,3.8,Yes,No,55,66,NotPlaced,38,48
51,6.5,0,2,1,77,4.8,No,Yes,56,65,NotPlaced,69,73
52,8.2,1,3,0,65,4.1,Yes,No,66,65,NotPlaced,59,65
53,8.1,2,3,2,90,4.7,Yes,Yes,82,82,Placed,54,61
54,6.5,1,2,1,80,4.5,Yes,Yes,72,67,NotPlaced,74,77
55,6.5,0,2,1,72,4.5,No,No,57,69,NotPlaced,80,82
56,8.8,2,3,2,90,4.8,Yes,Yes,86,88,Placed,78,81
57,8.0,1,1,0,74,4.5,Yes,Yes,55,65,NotPlaced,52,59
58,8.4,2,2,2,81,4.6,Yes,Yes,77,82,Placed,60,66
59,8.0,1,1,0,86,4.2,No,No,55,83,NotPlaced,69,73
60,6.6,0,1,0,76,3.9,No,Yes,78,69,Placed,79,81
61,7.7,2,2,0,86,4.0,Yes,Yes,79,64,NotPlaced,57,64
62,8.2,1,2,1,86,4.3,Yes,Yes,86,63,Placed,62,67
63,7.2,1,2,0,74,4.1,No,No,70,65,NotPlaced,48,56
64,6.6,1,2,1,72,4.1,No,No,55,75,NotPlaced,47,55
65,7.6,1,2,0,77,4.6,Yes,No,84,67,NotPlaced,77,79
66,8.0,0,3,0,68,4.2,Yes,No,64,83,Placed,85,86
67,7.8,2,3,2,87,4.8,Yes,No,90,83,NotPlaced,63,69
68,7.2,1,1,0,82,4.6,Yes,Yes,57,64,NotPlaced,80,82
69,7.7,1,1,0,74,4.1,No,Yes,57,68,Placed,70,74
70,8.4,1,1,2,67,3.8,Yes,Yes,76,69,NotPlaced,55,62
71,7.5,1,1,1,69,4.3,No,Yes,71,76,NotPlaced,70,74
72,6.7,0,2,1,79,4.1,No,No,78,67,NotPlaced,88,88
73,8.1,2,3,2,90,4.8,Yes,Yes,80,86,Placed,64,69
74,7.5,1,2,0,73,4.4,No,No,66,84,NotPlaced,88,88
75,7.4,2,1,0,75,4.2,No,Yes,65,84,NotPlaced,25,38
76,6.5,1,1,0,63,4.5,No,Yes,57,68,NotPlaced,77,79
77,8.1,1,3,1,90,4.6,Yes,Yes,73,86,Placed,66,71
78,6.9,1,1,0,83,3.5,No,Yes,61,71,NotPlaced,60,66
79,8.2,1,3,0,83,4.8,Yes,Yes,71,84,Placed,66,71
80,7.6,1,2,1,72,3.9,No,Yes,58,66,NotPlaced,35,46
81,6.6,1,1,1,69,3.6,No,Yes,55,72,NotPlaced,61,67
82,6.7,1,2,1,74,4.8,Yes,Yes,72,64,Placed,70,74
83,8.2,2,3,2,76,4.5,Yes,Yes,73,82,NotPlaced,87,87
84,8.3,2,3,1,90,4.2,Yes,Yes,82,83,Placed,57,63
85,7.6,0,2,0,86,4.8,Yes,Yes,57,72,Placed,52,60
86,6.7,1,3,0,87,4.6,Yes,No,81,69,NotPlaced,57,63
87,8.1,0,2,1,84,3.8,No,No,71,68,NotPlaced,78,80
88,8.5,1,2,2,79,3.9,Yes,Yes,76,66,Placed,69,73
89,8.8,1,3,0,76,4.7,Yes,Yes,75,84,Placed,57,63
90,7.2,1,2,0,68,4.2,Yes,Yes,57,66,NotPlaced,72,76
91,7.6,1,1,0,80,4.5,Yes,Yes,66,67,NotPlaced,66,71
92,7.1,1,1,0,70,3.3,No,No,55,66,NotPlaced,79,81
93,8.1,1,3,2,89,4.6,Yes,Yes,86,80,Placed,54,61
94,7.4,1,3,0,83,4.2,No,Yes,65,82,NotPlaced,60,66
95,7.7,2,2,2,85,4.8,Yes,Yes,74,83,NotPlaced,59,65
96,7.5,0,1,1,75,3.3,No,Yes,61,73,NotPlaced,43,52
97,7.5,1,1,0,64,4.0,No,No,73,66,NotPlaced,69,73
98,7.8,2,2,2,90,4.8,Yes,No,81,82,Placed,68,73
99,7.7,1,3,1,89,4.6,No,Yes,61,84,Placed,65,70
100,7.9,0,1,2,83,4.8,Yes,No,58,81,NotPlaced,61,67
101,7.4,1,2,1,63,3.9,No,No,55,67,NotPlaced,43,53
102,7.3,1,1,0,80,4.7,No,Yes,64,65,NotPlaced,58,64
103,6.5,1,1,1,62,3.8,No,Yes,58,65,NotPlaced,59,65
104,7.5,2,1,1,76,4.2,Yes,Yes,57,80,NotPlaced,52,60
105,6.5,1,1,0,68,4.1,No,No,61,66,NotPlaced,62,68
106,8.5,2,3,2,90,4.8,Yes,Yes,72,87,Placed,71,74
107,6.7,0,1,1,74,3.9,No,No,55,70,NotPlaced,93,92
108,6.5,0,1,0,82,4.4,No,No,65,69,NotPlaced,67,72
109,8.1,1,3,2,90,4.8,Yes,Yes,79,84,Placed,68,73
110,8.7,2,3,2,90,4.8,Yes,Yes,79,85,Placed,63,69
111,8.0,1,1,3,84,4.0,No,Yes,57,61,NotPlaced,36,46
112,7.3,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced,64,69
113,7.4,1,1,1,81,4.1,Yes,No,55,62,NotPlaced,65,70
114,8.6,2,3,0,81,4.7,Yes,No,71,83,Placed,100,99
115,6.7,2,1,2,76,4.8,Yes,No,55,78,NotPlaced,62,67
116,7.6,1,1,1,67,3.5,No,No,55,67,NotPlaced,69,73
117,8.8,1,3,2,90,4.6,Yes,Yes,83,83,Placed,64,69
118,6.5,1,2,0,65,4.4,No,Yes,61,68,NotPlaced,47,55
119,6.5,1,2,1,78,4.2,No,No,62,62,NotPlaced,82,83
120,7.4,1,2,1,75,4.2,No,Yes,55,74,NotPlaced,76,79
121,8.7,2,3,2,81,4.7,Yes,Yes,85,79,Placed,76,79
122,8.0,1,1,1,68,4.2,No,Yes,59,66,NotPlaced,51,59
123,7.7,1,3,2,90,4.8,Yes,No,80,85,Placed,86,86
124,7.3,1,1,0,64,3.2,No,Yes,58,67,NotPlaced,43,53
125,8.4,2,1,2,76,4.1,No,No,56,63,NotPlaced,73,77
126,7.7,1,2,0,73,4.0,No,Yes,65,75,Placed,97,96
127,7.5,1,1,1,68,4.7,No,No,58,64,NotPlaced,50,58
128,7.4,0,1,0,79,4.3,No,No,63,73,NotPlaced,56,63
129,7.4,1,1,1,64,4.3,No,Yes,73,73,NotPlaced,66,71
130,8.5,1,2,2,90,4.8,Yes,Yes,80,86,Placed,57,63
131,8.0,1,3,0,80,4.4,Yes,Yes,85,84,Placed,41,51
132,6.5,1,1,1,72,3.8,No,No,64,67,NotPlaced,66,70
133,8.4,1,1,0,81,4.6,Yes,No,78,82,Placed,49,57
134,8.7,0,3,2,88,4.8,No,No,87,84,NotPlaced,72,75
135,8.0,0,1,0,60,4.0,No,No,57,70,NotPlaced,51,58
136,8.4,2,3,1,88,4.6,Yes,Yes,74,82,NotPlaced,88,88
137,8.2,2,3,2,90,4.4,Yes,Yes,90,81,Placed,53,60
138,8.1,2,2,2,90,4.5,Yes,Yes,73,82,Placed,60,66
139,7.9,1,3,1,75,3.7,No,Yes,62,65,NotPlaced,77,79
140,8.9,2,3,2,90,4.8,Yes,Yes,69,85,Placed,46,55
141,6.5,1,1,1,72,4.5,No,No,66,70,NotPlaced,68,72
142,7.6,1,1,0,73,4.3,No,Yes,55,76,Placed,84,85
143,8.4,1,3,2,90,4.6,Yes,Yes,67,80,Placed,40,50
144,7.8,2,3,0,77,4.8,Yes,Yes,79,87,NotPlaced,67,72
145,8.4,1,2,1,74,4.3,Yes,Yes,59,80,Placed,68,73
146,7.6,1,2,0,74,3.7,No,Yes,58,74,Placed,76,79
147,7.9,1,1,1,62,4.6,Yes,Yes,87,82,NotPlaced,46,55
148,7.9,1,3,1,80,4.2,Yes,Yes,56,82,Placed,45,54
149,8.0,2,1,2,90,4.8,Yes,Yes,74,81,NotPlaced,72,76
150,7.9,2,1,0,83,4.0,Yes,Yes,63,70,NotPlaced,69,73
151,8.4,2,3,2,90,4.8,Yes,Yes,90,85,Placed,68,73
152,8.6,0,3,2,90,4.8,Yes,Yes,73,78,Placed,70,74
153,7.8,0,1,0,81,3.9,Yes,Yes,79,65,Placed,54,61
154,8.1,2,3,3,90,4.8,Yes,Yes,80,83,Placed,68,72
155,7.2,1,3,1,75,4.2,Yes,Yes,64,84,NotPlaced,69,73
156,7.7,0,1,0,81,4.8,Yes,Yes,69,63,Placed,54,61
157,8.4,1,3,2,90,4.5,Yes,Yes,79,86,Placed,92,92
158,8.0,1,3,1,87,4.6,Yes,Yes,72,83,NotPlaced,72,75
159,7.8,0,1,1,72,4.0,No,No,61,69,NotPlaced,47,55
160,6.5,1,1,0,63,3.5,No,No,56,64,NotPlaced,74,77
161,6.5,0,3,0,71,3.6,No,Yes,57,74,NotPlaced,50,58
162,7.9,1,2,1,81,4.0,Yes,Yes,60,71,NotPlaced,76,79
163,6.7,1,1,0,75,4.2,No,No,56,64,NotPlaced,82,83
164,6.9,0,1,0,73,4.1,No,Yes,55,69,Placed,52,60
165,6.5,1,1,2,85,4.3,Yes,No,62,72,Placed,79,81
166,6.5,0,1,1,79,3.9,No,No,55,66,NotPlaced,71,74
167,7.3,1,1,1,71,3.6,No,No,65,64,NotPlaced,77,79
168,8.3,2,3,0,71,4.6,Yes,Yes,77,82,Placed,93,92
169,7.5,1,1,1,74,3.9,No,No,63,65,NotPlaced,61,67
170,8.0,2,3,3,76,4.1,Yes,Yes,78,61,NotPlaced,53,60
171,8.3,1,2,1,69,3.8,No,Yes,76,71,NotPlaced,51,59
172,6.6,0,3,0,87,4.5,No,No,80,82,NotPlaced,52,60
173,7.4,0,3,0,90,4.6,No,No,65,70,NotPlaced,63,69
174,8.0,1,1,1,78,4.4,No,No,66,68,NotPlaced,70,74
175,8.0,2,3,2,90,4.8,Yes,Yes,78,86,Placed,69,73
176,6.7,1,2,0,73,4.5,No,Yes,55,65,NotPlaced,77,79
177,8.3,1,2,3,78,3.8,Yes,No,67,65,NotPlaced,65,70
178,8.5,1,3,2,90,4.8,Yes,Yes,61,86,Placed,86,87
179,7.5,2,1,2,90,4.8,Yes,No,55,65,NotPlaced,61,66
180,7.4,1,1,0,60,3.4,No,No,58,62,NotPlaced,100,100
181,8.4,0,1,2,88,4.8,Yes,Yes,74,82,Placed,74,77
182,8.2,1,3,0,82,4.8,Yes,Yes,70,73,Placed,52,59
183,6.5,1,1,0,74,4.2,No,Yes,74,61,NotPlaced,48,57
184,7.7,1,1,0,71,4.7,No,Yes,57,69,NotPlaced,72,75
185,7.3,1,2,2,67,4.5,No,No,63,66,NotPlaced,61,67
186,6.5,0,1,0,78,3.7,Yes,Yes,75,69,NotPlaced,75,78
187,6.5,1,1,1,68,4.1,No,No,55,65,NotPlaced,72,75
188,7.5,1,1,0,76,4.3,No,Yes,73,79,NotPlaced,63,69
189,7.8,1,1,1,65,3.9,No,No,55,70,NotPlaced,52,59
190,6.8,1,1,0,78,4.3,No,No,61,62,NotPlaced,42,51
191,8.4,2,3,2,90,4.1,Yes,Yes,76,82,Placed,58,64
192,7.8,2,2,2,80,4.6,No,Yes,59,74,Placed,77,80
193,7.5,1,2,0,77,4.2,Yes,Yes,58,63,NotPlaced,68,72
194,8.9,0,1,2,80,4.8,Yes,Yes,75,82,Placed,46,55
195,6.5,0,1,0,75,3.7,No,No,58,62,NotPlaced,67,72
196,8.4,1,1,2,87,4.1,No,No,78,70,NotPlaced,70,74
197,8.1,0,1,0,71,3.6,Yes,No,69,67,NotPlaced,51,59
198,8.5,2,3,0,86,4.2,Yes,Yes,60,85,Placed,67,71
199,7.6,1,1,1,82,4.8,Yes,Yes,79,86,Placed,65,70
200,7.8,2,3,0,79,4.3,Yes,No,87,87,NotPlaced,47,56
201,8.6,1,3,2,90,4.7,Yes,Yes,68,84,Placed,70,74
202,7.9,2,3,2,76,4.6,Yes,Yes,79,82,Placed,73,76
203,6.5,0,2,2,75,4.5,Yes,No,65,59,NotPlaced,81,82
204,8.2,0,2,1,82,4.5,Yes,Yes,78,87,Placed,80,82
205,8.2,1,1,0,81,4.3,Yes,Yes,60,70,Placed,44,53
206,7.6,1,1,0,64,4.1,No,No,69,67,NotPlaced,50,58
207,7.3,1,2,1,84,4.6,No,Yes,55,72,NotPlaced,72,76
208,8.4,2,3,2,90,4.5,Yes,Yes,85,79,Placed,72,76
209,8.3,2,3,3,90,4.5,Yes,Yes,70,88,Placed,72,76
210,7.8,1,3,0,88,4.8,Yes,Yes,70,78,Placed,100,100
211,8.3,1,2,1,82,4.7,Yes,Yes,77,84,NotPlaced,73,76
212,7.5,1,1,1,69,4.1,No,No,55,75,NotPlaced,82,83
213,8.6,2,3,2,78,4.8,Yes,Yes,82,81,NotPlaced,79,81
214,7.8,2,2,2,77,4.2,Yes,No,57,69,NotPlaced,74,77
215,6.6,1,1,1,71,4.3,No,No,70,66,NotPlaced,60,66
216,7.4,0,1,1,70,4.2,No,No,61,70,NotPlaced,76,79
217,6.9,1,2,1,74,4.1,No,No,55,69,NotPlaced,53,60
218,6.6,1,1,0,77,4.5,No,No,62,70,NotPlaced,61,67
219,8.3,1,2,2,88,4.1,Yes,Yes,80,79,Placed,57,64
220,7.9,2,2,2,88,4.8,Yes,Yes,81,85,Placed,66,70
221,6.6,1,2,1,76,4.1,Yes,Yes,82,69,NotPlaced,99,97
222,8.0,2,3,2,86,4.8,Yes,Yes,62,83,Placed,36,47
223,7.5,1,2,0,86,3.8,No,No,55,68,NotPlaced,75,78
224,7.9,2,3,2,90,4.8,Yes,No,81,78,NotPlaced,40,50
225,8.3,1,3,2,78,3.9,Yes,Yes,60,61,Placed,57,64
226,7.4,1,1,0,74,3.5,No,Yes,67,62,NotPlaced,81,83
227,8.0,2,2,2,87,3.8,Yes,Yes,79,78,Placed,65,70
228,8.7,2,3,2,87,4.7,Yes,Yes,80,84,Placed,48,57
229,7.4,1,2,0,77,4.5,No,Yes,66,86,NotPlaced,54,61
230,7.9,2,3,2,90,4.8,Yes,Yes,83,88,Placed,75,78
231,7.5,1,1,1,70,4.6,No,No,59,66,NotPlaced,54,61
232,7.4,2,1,1,87,4.5,Yes,Yes,68,84,NotPlaced,68,72
233,7.7,0,1,1,69,4.8,Yes,Yes,78,65,NotPlaced,65,70
234,7.8,0,1,1,70,3.8,No,Yes,73,73,NotPlaced,55,62
235,7.5,2,3,0,88,4.6,Yes,Yes,79,83,NotPlaced,97,95
236,8.2,2,3,1,69,4.0,Yes,Yes,77,82,NotPlaced,74,77
237,7.8,1,3,2,75,4.3,Yes,Yes,77,86,NotPlaced,34,45
238,7.6,1,1,0,72,4.6,Yes,Yes,68,84,NotPlaced,67,72
239,8.5,2,3,2,90,4.8,Yes,Yes,80,79,Placed,55,62
240,6.7,0,1,1,71,4.7,No,Yes,76,70,NotPlaced,77,80
241,7.6,1,3,0,82,4.5,No,Yes,56,72,NotPlaced,53,60
242,7.6,0,2,0,80,3.7,Yes,No,85,61,NotPlaced,63,68
243,7.3,1,2,0,71,4.4,No,Yes,58,67,NotPlaced,72,76
244,8.1,1,2,1,78,3.5,No,Yes,71,70,NotPlaced,77,80
245,7.6,2,3,0,88,4.4,No,Yes,80,68,Placed,46,55
246,7.4,1,2,0,77,3.8,No,Yes,59,63,NotPlaced,59,65
247,8.4,0,2,1,85,4.3,Yes,Yes,62,81,Placed,57,64
248,6.7,1,2,1,73,4.3,No,Yes,71,66,NotPlaced,55,62
249,6.5,1,1,0,70,4.7,No,Yes,79,64,NotPlaced,91,91
250,7.4,1,2,1,68,3.4,No,Yes,57,61,NotPlaced,71,74
251,8.4,2,3,1,76,4.1,Yes,Yes,68,64,NotPlaced,46,54
252,6.5,1,1,0,68,4.3,No,Yes,55,70,NotPlaced,78,81
253,6.6,1,2,1,82,4.4,Yes,Yes,74,82,NotPlaced,96,95
254,8.1,0,2,2,80,4.4,Yes,No,82,85,Placed,80,82
255,6.5,1,1,0,74,4.2,No,No,59,65,NotPlaced,42,51
256,8.5,1,3,2,75,4.5,Yes,Yes,75,84,NotPlaced,57,64
257,8.7,2,3,2,90,4.8,Yes,Yes,83,81,Placed,84,85
258,7.5,1,2,3,86,4.8,No,Yes,60,67,NotPlaced,54,61
259,8.1,2,3,2,90,4.8,Yes,Yes,86,88,Placed,71,75
260,8.2,1,3,1,83,4.1,Yes,Yes,77,83,NotPlaced,76,79
261,8.7,2,1,0,66,4.8,Yes,No,70,59,NotPlaced,51,58
262,6.6,0,1,2,72,4.2,No,Yes,86,88,Placed,64,69
263,8.1,0,2,3,78,4.1,Yes,Yes,81,78,Placed,16,31
264,6.5,1,3,0,80,3.7,No,No,59,66,NotPlaced,49,57
265,7.4,1,1,0,88,4.5,No,Yes,76,71,Placed,61,66
266,8.2,2,3,2,80,4.8,Yes,Yes,79,84,Placed,46,55
267,6.8,2,2,2,80,4.6,No,Yes,61,69,NotPlaced,89,89
268,8.0,1,2,1,76,4.5,No,Yes,68,75,NotPlaced,43,52
269,8.5,1,3,0,82,4.4,Yes,Yes,68,88,Placed,58,64
270,6.6,1,2,1,65,4.1,No,No,56,58,NotPlaced,66,71
271,8.4,1,2,0,79,3.8,No,Yes,60,64,NotPlaced,86,87
272,7.8,1,1,1,79,3.7,No,Yes,56,59,NotPlaced,43,52
273,7.7,1,2,0,81,3.8,Yes,Yes,65,59,NotPlaced,82,83
274,6.8,1,1,0,73,3.7,No,Yes,55,65,NotPlaced,65,70
275,7.3,1,2,1,71,4.7,No,No,59,57,NotPlaced,50,58
276,6.5,2,2,2,79,4.5,Yes,Yes,83,87,Placed,71,75
277,8.3,2,1,1,83,4.5,Yes,Yes,82,86,NotPlaced,67,72
278,7.3,1,2,1,79,3.8,No,Yes,58,73,NotPlaced,55,62
279,6.8,1,2,1,65,3.9,Yes,Yes,71,85,Placed,66,70
280,8.7,1,3,2,90,4.8,Yes,Yes,69,88,Placed,59,65
281,8.3,2,3,1,90,4.8,Yes,No,55,80,Placed,66,71
282,8.2,1,2,1,79,3.8,Yes,Yes,55,70,NotPlaced,74,77
283,8.2,1,1,2,86,4.4,No,No,76,82,NotPlaced,88,89
284,8.5,0,2,0,81,3.2,No,Yes,55,63,NotPlaced,46,55
285,8.0,0,1,1,87,3.8,No,Yes,55,71,NotPlaced,96,95
286,7.9,1,1,0,77,4.7,Yes,Yes,64,60,NotPlaced,35,46
287,7.7,1,1,2,82,4.4,No,No,55,70,NotPlaced,62,68
288,7.6,0,3,3,75,4.3,Yes,Yes,82,87,Placed,73,77
289,6.7,1,3,0,77,4.1,Yes,Yes,69,67,NotPlaced,69,73
290,8.5,0,2,2,75,4.5,Yes,No,76,83,Placed,55,62
291,8.8,1,2,2,90,4.8,Yes,No,75,88,Placed,61,67
292,6.5,2,3,1,82,4.6,Yes,No,83,63,NotPlaced,57,64
293,7.5,0,1,1,80,4.2,Yes,No,84,64,NotPlaced,56,62
294,7.7,2,3,2,78,4.6,Yes,Yes,78,83,NotPlaced,77,80
295,7.7,0,1,0,79,4.8,No,Yes,58,71,NotPlaced,70,74
296,8.6,1,1,2,84,4.3,Yes,Yes,57,82,Placed,54,61
297,7.5,0,2,0,69,3.6,No,No,61,59,NotPlaced,78,80
298,6.8,1,1,0,68,4.3,No,Yes,65,69,NotPlaced,69,73
299,8.1,0,3,2,90,4.8,Yes,Yes,69,84,NotPlaced,77,79
300,8.4,2,3,3,82,4.5,Yes,No,82,85,Placed,74,77
301,7.5,1,1,0,67,3.4,No,No,65,71,NotPlaced,52,60
302,8.1,1,3,0,70,4.8,Yes,No,71,72,NotPlaced,56,63
303,7.4,1,1,1,64,4.0,No,No,55,62,NotPlaced,76,78
304,8.4,2,3,2,80,4.6,Yes,Yes,72,79,Placed,74,77
305,8.2,0,3,2,90,4.8,Yes,Yes,79,80,Placed,64,69
306,8.0,1,2,1,80,4.3,No,Yes,71,61,NotPlaced,66,71
307,7.9,0,3,2,90,4.8,Yes,Yes,68,83,Placed,84,85
308,6.8,0,1,0,77,3.3,No,No,64,69,NotPlaced,56,62
309,8.3,2,3,2,82,4.6,Yes,Yes,76,85,Placed,73,76
310,7.4,1,2,1,75,4.3,No,Yes,55,85,NotPlaced,61,67
311,7.6,1,1,0,66,4.1,No,Yes,62,73,NotPlaced,61,67
312,8.5,2,3,1,90,4.8,Yes,Yes,78,82,NotPlaced,81,83
313,8.2,2,3,2,90,4.6,Yes,Yes,77,88,Placed,77,79
314,8.2,1,3,2,90,4.3,No,Yes,77,82,Placed,77,79
315,6.5,1,1,0,79,3.6,No,Yes,55,64,NotPlaced,84,85
316,7.5,1,1,2,82,4.5,Yes,Yes,77,84,Placed,65,70
317,7.5,1,2,1,85,4.1,No,Yes,71,84,NotPlaced,75,78
318,6.6,0,1,1,67,4.3,No,Yes,56,65,NotPlaced,60,66
319,7.6,1,1,1,88,4.5,Yes,Yes,83,86,Placed,69,73
320,7.5,1,1,1,81,4.5,Yes,Yes,64,68,NotPlaced,63,68
321,7.5,0,2,1,66,4.5,No,Yes,61,71,Placed,66,71
322,8.5,2,3,1,85,4.3,Yes,Yes,88,80,Placed,73,77
323,7.9,2,1,0,71,4.8,No,Yes,56,66,NotPlaced,52,60
324,8.2,0,2,0,85,4.1,Yes,No,57,70,NotPlaced,96,95
325,7.2,1,2,0,69,4.0,No,Yes,55,61,NotPlaced,49,57
326,8.6,2,3,2,90,4.8,Yes,Yes,75,84,Placed,46,55
327,6.5,1,1,1,78,3.9,No,Yes,67,73,Placed,82,83
328,8.7,1,3,0,86,4.5,Yes,Yes,77,81,Placed,76,79
329,7.8,1,2,0,78,4.8,Yes,Yes,75,65,Placed,74,77
330,7.7,1,1,0,80,4.0,No,Yes,55,66,NotPlaced,74,77
331,6.5,0,2,0,80,4.6,Yes,Yes,62,86,Placed,64,69
332,8.5,1,2,1,71,3.8,Yes,Yes,78,69,NotPlaced,51,59
333,7.4,2,3,0,86,4.6,Yes,Yes,75,72,Placed,66,70
334,8.6,1,3,2,81,4.8,Yes,Yes,71,82,Placed,54,61
335,8.0,1,2,1,88,3.6,No,Yes,69,69,NotPlaced,79,81
336,7.8,1,3,1,89,4.6,Yes,Yes,73,79,Placed,62,68
337,8.1,1,3,2,90,4.7,Yes,No,72,87,Placed,52,60
338,7.2,1,2,0,83,4.5,No,Yes,74,69,NotPlaced,60,66
339,8.4,2,3,2,87,4.8,Yes,Yes,78,88,Placed,71,74
340,8.4,0,3,2,85,4.6,Yes,Yes,90,79,NotPlaced,56,63
341,8.3,0,3,1,88,4.7,Yes,Yes,69,80,NotPlaced,52,60
342,7.2,0,2,1,66,3.9,No,No,67,69,NotPlaced,68,72
343,8.6,2,3,2,90,4.8,Yes,Yes,77,86,Placed,68,72
344,7.9,2,1,0,73,4.2,No,No,56,71,NotPlaced,57,63
345,6.6,1,1,2,81,4.8,Yes,No,68,71,NotPlaced,57,64
346,7.1,1,1,1,63,3.6,No,Yes,58,68,NotPlaced,68,72
347,7.8,0,3,0,90,4.7,Yes,Yes,72,69,Placed,43,52
348,6.6,1,1,1,81,4.0,No,No,73,72,NotPlaced,43,53
349,6.5,2,3,0,79,3.7,Yes,Yes,68,86,NotPlaced,54,61
350,7.5,2,1,0,83,4.6,Yes,No,58,81,NotPlaced,61,67
351,7.5,1,2,0,70,3.7,No,Yes,55,66,NotPlaced,69,73
352,7.8,0,2,2,74,4.6,Yes,Yes,58,60,NotPlaced,87,87
353,6.6,1,2,0,71,4.0,No,No,55,68,Placed,77,80
354,7.4,1,2,0,72,4.3,No,Yes,55,62,NotPlaced,62,68
355,7.8,1,3,2,77,4.2,Yes,No,77,82,NotPlaced,64,69
356,8.2,2,3,2,90,4.8,Yes,Yes,89,84,Placed,49,57
357,8.9,2,3,2,89,4.6,Yes,Yes,71,83,Placed,64,69
358,8.2,1,2,1,90,4.8,Yes,Yes,78,71,Placed,60,66
359,7.5,1,3,0,70,4.2,No,Yes,60,68,NotPlaced,69,73
